q,a1,a2,a3,a4,a5,a6,a7
Name Something A Firefighter Needs A Lot Of,Water,Strength,Rest,Ladders,Air,,
Name Something A Reality Show Is Incomplete Without.,Drama/Fighting,Contestants/Celebs,Romance,Camaras,Alcohol,,
Name A Way In Which Sitcom Characters Are Typically Different From Real People,Funny,They’re Acting,Always Happy,Rich,Always Look Good,,
Name Something People Might Buy For Their New Goldfish.,Food,Tank,Some Rocks,Castle,Another Goldfish,,
Name A Sound You’d Hear At A Boxing Match,Bell,Cheering,Booing,Punching,Applause,,
Name A Fruit That You Might Accidentally Swallow The Seeds Of.,Watermelon,Grape,Cherry,Orange,Apple,,
Name Something Your Physician Asks That Would Be Strange To Ask A Person Who You Just Met.,Weight,Age,Date Of Last Cycle,High Blood Pressure,Are You Pregnant,,
What Part Of The School Day Might A Kindergartener Look Forward To?,Recess,Lunch,Nap Time,Going Home,Art,,
Name Something A President Probably Has With Him Everywhere He Goes?,Secret Service,Cell Phone,Money,First Lady,Assistant,,
Name A Profession You’d Shoot For If You Wanted To Be Famous.,Actor,Musician,Model,Politition,Athlete,,
"If You Were Turned Into A Bird, Name Something You’d Have To Learn How To Do",Fly,Build A Nest,Eat Worms,Sing,Avoid Cats,,
Name An Occasion Where You Might Send Out Invitations.,Wedding,Birthday,Party,Graduation,Baby Shower,,
"Name Something You Would Do In Front Of Children, But Would Be Embarrassed To Do In Front Of Other Adults",Sing,Pass Gass/Burp,Dance,Play,Baby Talk,,
"Besides Your Mother, Name A Female Who Told You What To Do While You Were Growing Up",Grandmother,Aunt,Teacher,Older Sister,Babysitter,,
Name Something A Shoe Salesman Might Complain About.,Stinky Feet,Ugly Feet,Returns,Big Feet,Backache,,
"Name Something Karaoke Singers Use For Help, But A Real Singer Shouldn’t Need.",Lyrics,Alcohol,Microphone,Music,Backup Vocals,,
Name Something You Know About Shaquille O’Neal.,Tall,Basketball Player,Raps,Officer,Bad Actor,,
Name A Type Of Event That Adults Dress Up To Go To But Kids Would Find Boring?,Opera,Broadway/Play,Wedding,Symphony,Ballet,,
Name A Chain Store That’s Put A Lot Of Mom And Pop Stores Out Of Business,Wal Mart,Starbucks,Home Depot,McDonald’s,Barnes & Noble,,
We Asked 100 Wives: Name A Place In The House Where Your Husband Spends More Time Than You Do,Bathroom,Garage,TV/Living Room,Bedroom,Basement,,
Name A Situation Where You Wouldn’t Want Someone Looking Over Your Shoulder.,Test,Office,In The Bedroom,ATM,Bathroom,,
Name Something You Can’t Be Afraid Of If You Want To Become A Vampire,Blood,The Dark,Cross,Neck Bites,Bats,,
"What Do You Do If You’re Eating At A Friend’s House, And Don’t Like The Food?",Eat It Anyway,Pretend To Eat It,Excuse Yourself,Say “Not Hungry”,Be Honest,,
Name A Place Where Everyone Seems To Be In A Good Mood.,Place Of Worship,Bar,Amusement park,Party,Beach,,
Name Something A Goldfish Might Complain About,Dirty Water,No Food,Bowl Too Small,Not Enough Water,Beat Up By Other Fish,,
"Besides Books, Name Something People Read.",Magazines,News Papers,Road Signs,Poems,Billboards,,
Name Something Dogs Are Trained To Find,Illegal Substance,Criminals,Bones,Missing People,Birds,,
Tell Me Something You Would See In A Blues Brothers Movie.,Sunglasses,Dancing,Hats,Musical Insruments,Black Suits,,
Name Something People Do To Their Hair That Makes Them Look Silly.,Dye It,Mohawk,Get A Bad Haircut,Curling,Bleach,,
Name The Last Thing You Read On The Internet That You Wish You Hadn’t.,News,Email/Spam,Gossip,Bills/Accounts,Blog/Comments,,
"In Order To Solve A Crime, What Does An Investigator Need To Find?",Prints,Weapon,DNA,Suspect,Blood,,
Name A Sport That Can Only Be Played Outdoors In The Winter?,Ice Hockey,Skiing,Ice Skating,Snowboarding,Bobsledding,,
Name Something Cindy Crawford Is Known For,Mole,Modeling,Beauty,Aerobics,Body,,
Name A Famous Past Or Present Couple Who You’d Hate To Live Next Door To.,The Osbournes,Brad & Angelina,Jon & Kate,Addams Family,Bonnie & Clyde,,
Name Something People Eat With Chili.,Crackers,Cheese Sauce,Hot Dogs,Chips,Bread,,
Name Something A Bird Watcher Carries With Them,Binoculars,Camara,Bird Book,Notepad,Bread,,
Name Something People Do To Make Their Breath Smell Good.,Brush Teeth,Mints/Gum,Mouthwash,Floss,Breath Spray,,
Name Something Specific That Must Be Really Hard For Astronauts To Do While In Space.,Eat/Drink,Use The Bathroom,Move Around/Exercise,Sleep,Breathe,,
Name Something You Might See In A Museum About The Old West.,Gun,Pictures,Covered Wagon,Stagecoach,Buffalo,,
"Besides A Waiter, Name A Job At A Restaurant.",Chef,Host,Dishwasher,Cashier,Busser,,
Name A Part Of The Body That’s Often Sore After Exercise.,Legs,Arms,Back,Stomach,Butt,,
"When You Were A Little Kid, Where Did You Think Babies Came From.",Stork,Mother’s Stomach,Heaven,Already Knew,Cabbage Patch,,
Name A Feature TV Sets Have Today That They Didn’t Have 50 Years Ago,Remote Control,Color,Video player,Video Jacks,Cable,,
Name Something That Might Have Nuts In It?,Candy,Cookies,Brownies,Pies,Cake,,
Name Something A Student Might Turn On When They’re Studying.,Radio,Light,TV,Computer,Calculator,,
"Name A Creature That, Until It Moves, You Don’t Know Its Head From Its Tail.",Snake,Worm,Turtle,Ant,Caterpillar,,
Name Something You Can Test In The Store Before Buying It,Perfume,TV,Clothes/Shoes,Computer,CD,,
Name Someone Who Might Work At A Mansion.,Maid,Butler,Cook,Gardener,Chauffeur,,
Name Something That Can Make An Ordinary Dinner Romantic.,Candles/Lighting,Wine,Flowers,Music,Chocolates,,
Name A Specific Bowl Game That Takes Place During The Holidays,Rose Bowl,Orange Bowl,Cotton Bowl,Sugar Bowl,Citrus Bowl,,
Name Something A Housekeeper Uses As Part Of Her Job,Vacuum,Broom,Mop,Dust Cloth,Cleaner,,
Name Someone Who Might Make A Speech At A Wedding.,Best Man,Parent,Bridesmaid,Bride/Groom,Clergy Member,,
Name A Reason Parents Might Want Their Kid To Go To A Particular College.,Alma Mater,Better Academics,Reputation Of School,The Cost,Close To Home,,
Name Something A Person Sits Next To On A Hot Day,Fan/Air Conditioner,Swimming Pool,Ocean/Lake,Tree/Shade,Cold Drink,,
Why Might A Person Refuse To Remove Their Shoes At A Party?,Smelly Feet,Dirty Floor,No Socks,Ugly Feet,Cold Feet,,
Where Were You The Last Time You Had A Bit Too Much To Drink.,Bar,Home,Holiday Party,Wedding,College,,
What Can You Consult For Directions When You’re Lost?,Map,GPS,Gas station Attendant,Police,Compass,,
Name Something Your Mom Told You Was The Key To A Happy Marriage,Love,Trust,Healthy Love Life,Communication,Compromise,,
Name An Image That’s Often Used In Ads At Thanksgiving.,Turkey,Family Dinner,Pilgrims,Native Americans,Cornucopia,,
Name A Magazine Teenagers Buy.,Seventeen,Teen,Tiger Beat,Teen People,Cosmogirl,,
Name A Place Where Someone Might Practice Driving For The First Time.,Parking Lot,Driving School,Field,Driveway,Country Road,,
Name An Occasion That It Would Not Be Fashionable To Arrive Late To.,Wedding,Funeral,Work/Meeting,Job Interview,Court,,
Name A Place Where You Would Not Be Allowed To Chew Gum.,School,Church,Library,Singapore,Court,,
Name Something People “Run” For.,Office,Marathon,Health,Their Life,Cover,,
Name Something You Might Need If You’re Eating A Lobster,Butter,Bib,Fork,Napkin,Cracking Tool,,
Name A Reason Why Basements Are Often Less Cozy Than The Rest Of A House,Cold,Dark,Cement Floors,Damp,Creatures Live There,,
Name A Type Of TV Show That You Can’t Imagine Having An Audience Laugh Track.,News,Soap Opera,Reality TV,Talk Show,Crime Drama,,
"If Peter Pan Had A Phone, Name Someone He’d Probably Have On Speed Dial.",Tinker Bell,Wendy,Captain Hook,Lost Boys,Croc,,
Name Something Snoopy Does That Your Dog Would Not,Talk,Fly/Pilot,Sleep On House,Read/Write,Dance,,
Name Something A Rock Musician Might Do During A Concert That Would Look Funny For A Classical Musician To Do.,Scream,Smash Instrument,Jump Around,Take Off Shirt,Dance,,
Name Something That Would Cause You To Quit Your Job On Your First Day,Rude Boss,Too Stressfull,Bad Pay,Long Hours/Schedule,Dangerous,,
"Name Something The Government Knows About You, But You Wouldn’t Talk To A Co-Worker About.",Income,Tax Information,Social Security,Criminal Record,Debt,,
Name Something You Spray On Yourself That Would Sting If It Got In Your Eyes.,Perfume,Insect Repelant,Hairspray,Sunscreen/Tan,Deoderant,,
Name Something People Use Pins For.,Clothes,Sewing,Hold Papers,Hair,Diapers,,
Name Something An Auto Racer Hopes Won’t Happen To Him During A Race.,Crash,Engine Trouble,Runs Out Of Gas,Flat Tire,Die,,
Name Something That Might Get You To Watch A New TV Show,Advertisement,Stars,Appears Funny,Win Money,Different,,
Name Something That Has Bubbles In It.,Soda,Champagne,Bubble Bath,Soap,Dishwashing Liquid,,
What Might A Celebrity Do That Causes People To Criticize Him?,Party,Cheat,Drive Carelessly,Get Arrested,Divorce,,
Name A Public Place Where You Undress,Dressing Room/Store,Beach/Pool,Restroom,Locker Room,Doctor’s Office,,
Name A Piece Of Information That Can Be Found On A Prescription Bottle.,Patient Name,Directions,Date/Expiration,Drug/Ingredients,Doctor/Contact,,
Name Something Kids Insist On Doing By Themselves Even If It Takes A Long Time.,Tying Their Shoelaces,Getting Dressed,Eating,Taking A Bath,Doing Their Homework,,
Name A Talk Show You Might Go On To Tell About Your Disaster Wedding.,Oprah,Jerry Springer,Maury,Tyra Banks,Dr Phil,,
Name Something Doctors Are Always Telling People To Stop Doing,Smoking,Eating Too Much,Eating Junk,Too Much Salt,Drinking Alcohol,,
Name Something That Would Prevent A Person From Becoming A Pilot.,Bad Vision,Fear Of Flying,Fear Of Heights,Criminal Record,Drinking Problem,,
"In The Heat Of A Passionate Moment, Which Disney Character’s Name Would Be Hardest To Say With A Straight Face",Goofy,Mickey Mouse,Donald Duck,Dopey,Dumbo,,
Name A Place A Baby Sticks His Fingers That He’s Not Supposed To,Socket,Nose,Mouth,Light Switch,Ear,,
What Kind Of A Weather Event Makes The Front Page Of The News?,Hurricane,Snow/Blizzard,Tornado,Flood,Earthquake,,
Name Something That A Circus Performer’s Parents Would Cringe At Seeing Him Perform.,Tight Rope,Trapeze,Taming Lion,Sword Swallowing,Eating Fire,,
Name Something Specific People Put Salsa On,Chips,Tacos,Enchaladas,Burritos,Eggs,,
Name A Place On Your Body That You Can’t Scratch When It Itches,Back,Bottom,Foot,Throat,Eyes,,
What Is The Most Used Room In Most Homes?,Bathroom,Living Room,Kitchen,Bed Room,Family Room,,
Why Might A Person Use Stairs Instead Of The Elevator?,Exercise,Fire,Elevator Broken,Fear Of Small Spaces,Faster,,
Name Something You’d Wear To A Roaring ’20s Themed Party.,Hat/Headband,Flapper Dress,Beads,Wig/Bob,Feather/Boa,,
Name Something You Order At McDonald’s That You’d Never Order At A Fancy French Restaurant.,Hamburger,French Fries,Chicken Nuggets,Milkshake,Filet O Fish,,
Name Something You Might See In A Hunting Lodge,Mounted Animal Heads,Guns,Hunters,Antlers,Fireplace,,
Name Something Boy Scouts And Girl Scouts Both Learn To Do,Start Fire,Door To Door Sales,Camp,Community Service,First Aid,,
Name A Good Occupation For A Woman Who Was Head Cheerleader.,Dancer,Coach/Teacher,Model,Motivational Speaker,Fitness Instructor,,
Name Something You Might Use A Flashlight While Doing,Camping,Searching For Something,Reading,Hiking,Fixing A Car,,
Name Something That Supermodels Would Rather Do Without.,Food/Diet Food,High Heels,Camaras,Makeup,Flaws,,
Name Something At Your Company Holiday Party That Could Lead You To Embarrass Yourself.,Open Bar,Dance Floor,Karaoke,Mistletoe,Free Food,,
Name Someplace That Kids Need Their Parents To Drive Them,School,The Mall,The Movies,Clubs/Practice,Friemd’s/Party,,
Tell Me A Smell Most People Hate.,Skunk,Rotten Eggs,Ammonia,Onion,Garlic,,
Name A Foreign Language That Is Not Usually Offered In High School,Japanese,Chinese,Latin,Russian,German,,
Name A Heavy Animal That A China Shop Owner Wouldn’t Let Into Their Store.,Bull,Elephant,Bear,Lion,Giraffe,,
"Duct Tape Can Fix A Lot Of Things, But Name An Expensive Item That It Would Probably Be Useless To Fix.",Car/Tires,TV/Electronics,Ring/Jewelry,Frige/Appliance,Glass/Window,,
Name Something A Real Estate Agent Needs To Do His Job.,Homes For Sale,Car,Clients,Advertisement,Good Attitude,,
Name A Word That People Use To Avoid Swearing.,Darn,Shoot,Dang,Fudge,Gosh,,
Name Something You Might Pay Extra For When Renting A Car,Insurance,Better Stereo,Milage Fees,Bigger Car,GPS,,
Name A Food That’s Made From Corn.,Popcorn,Corn Bread,Tortillas/Chips,Gifts,Cornflakes/Cereal,,
Name A Public Place Where You Might Be Spotted Wearing Less Clothing Than Usual.,Beach,Pool,Nightclub,Spa,Gym,,
Name A Reason Why You’d Wake Your Spouse Up In The Middle Of The Night,Heard A Noise,“In The Mood”,Snoring,You’re Sick,Had A Nightmare,,
Name A Weather Condition That Is 4 Letters Long,Snow,Rain,Cold,Wind,Hail,,
Name Something A Cheerleader Has Lots Of.,Energy,Pom Pom,Spirit,Cheers,Hair,,
Name A Type Of Party That’s Bound To Get A Little Out Of Hand.,Bachelor(ette) Party,College/Frat Party,House Party,New Years Eve,Haloween/Costume,,
Name A Part Of A Boxer’s Body That Might Be Swollen After A Match,Cheeks,Eyes,Nose,Lips,Hands,,
Name A Specific Way That You Wish Your Life Were Like A Hollywood Movie,Have Lots Of Money,Find True Love,Live In Nice House,Lots Of drama,Happy Ending,,
Name Another Word Or Phrase People Use To Say Good-Bye,See You Later,So Long,Adios,Ciao,Hasta La Vista,,
Name Something You’d Learn To Do In Your First Swim Class,Float,Hold Breath,Doggy paddle,Blow Bubbles,Head Under Water,,
Name Something You Might Lose As You Get Older.,Memory,Hair,Teeth,Eye Sight,Hearing,,
Name A Type Of Wave That You Can’t Ride On,Tidal,Hand,Sound,Radio,Heat,,
"We Asked 100 Husbands: If Your Wife Is Staring At You Over A Holiday Dinner, What Might She Be Telling You With Her Look",I Love You,Your In Trouble,Let’s Leave,Stop Talking,Help Out/Dishes,,
Name Something That People Often Write On The Back Of Postcards,Name,Address,With Love,Miss You,Hi/Hello,,
Name A Mountain Range Known For Skiing,Rockies,Swiss Alps,Sierras,Appalachian,Himilaysa,,
"Name A Room That You’d Find In A Mansion, But Not A Regular House",Library/Study,Game Room,Pool Room,Parlor,Home Theatre,,
"On “Family Feud,” Name Something The Host Asks Players About.",Family,Name,Job,Age,Hometown,,
Name Something A Shy Man Might Wear To Hide His Face.,Hat/Headband,Glasses,Facial Hair,Scarf,Hood,,
Name Something You Wear That Covers Your Ears.,Ear Muffs,Hat,Headphones,Scarf,Hood,,
Name Something A Teen Might Take Off Before Going To Grandma’s House For Dinner.,Makeup,Hat,Piercing,Shoes,Hoodie,,
Name A Fictional Character With Two Identities,Superman,Jekyll & Hyde,Batman,Spiderman,Hulk,,
Name A Person You Wouldn’t Want To Get Tipsy In Front Of.,Parent,Boss,Pastor,Police Officer,In Laws,,
Name Something You’re Better Off Spending Too Much Money On Than Too Little.,Car,House/Home Repair,Food,Gifts,Insurance,,
Name Something That’s “As American As Apple Pie.”,Baseball,Flag,Hamburger,Chevrolet,Jeans,,
Name A Drink People Put Ice In.,Tea,Soda,Alcohol,Water,Juice,,
Name Something Mick Jagger Does A Lot,Sing,Dance,Yell,Tour,Jump,,
Name A Specific Part Of Your Body That The Doctor Might Say To Take Better Care Of,Heart,Back/Spine,Feet,Eyes,Kidneys,,
Name A Product Door-To-Door Salesman Used To Sell,Vacuum Cleaner,Cosmetics,Encyclopedia,Bible,Knives,,
Name A Product Door-To-Door Salesmen Used To Sell.,Vacuum Cleaner,Cosmetics,Encyclopedia,Bible,Knives,,
Name Something People Drink A Lot Of In The Summer,Lemonade,Iced Tea,Water,Beer,kool Aid,,
Name A Downside To Being The Youngest Child In The Big Family.,Hand Me Down Clothes,Treated Like A Baby,Picked On,No Respect,Lack Of Attention,,
"Real Or Fictional, Name Someone Who’s Associated With A Lamb",Mary,Jesus,Little Bo Peep,Shepherd,Lambchop (puppet),,
Name Something Twins Might Always Share.,Looks,Parents,birthday,Genes,Last Name,,
